participant,goose.boundary,condition,gender,age,region,distanceLondon
f1,3.164367,maleFace,female,20,northern,189.4
f2,1.504603,maleFace,female,22,midlands,80.889
f3,3.967046,maleFace,female,23,southern,68.847
f4,3.153282,maleFace,female,22,northern,182.227
f5,3.4997,femaleFace,female,21,other,76.867
f6,3.4997,maleFace,female,19,other,344.732
f7,3.501128,femaleFace,female,26,midlands,112.967
f8,3.033241,maleFace,female,21,midlands,87.712
f9,2.966705,maleFace,female,20,northern,258.357
f10,2.50193,maleFace,female,21,southern,36.397
f11,2.496749,femaleFace,female,25,other,344.222
f12,3.033241,femaleFace,female,21,northern,168.981
f13,2.496749,femaleFace,female,21,midlands,136.703
f14,4.324163,femaleFace,female,20,northern,185.435
f15,3.033241,femaleFace,female,22,northern,174.023
f16,1.661942,femaleFace,female,20,northern,169.446
f17,3.828828,femaleFace,female,23,northern,178.206
f18,4.967313,femaleFace,female,22,northern,247.238
f19,2.966705,femaleFace,female,21,midlands,108.71
f20,3.828828,maleFace,female,24,northern,168.981
f21,2.496749,maleFace,female,26,southern,50.133
f22,4.499144,maleFace,female,21,midlands,123.119
f23,4.16395,maleFace,female,28,midlands,108.71
f24,5.032617,femaleFace,female,22,northern,187.065
f25,1.402098,maleFace,female,25,southern,15.399
f26,4.499144,femaleFace,female,28,northern,175.665
m1,3.967046,maleFace,male,26,other,331.592
m2,3.828828,femaleFace,male,22,northern,156.718
m3,3.501128,maleFace,male,20,southern,91.227
m4,2.966705,maleFace,male,26,midlands,101.048
m5,1.000056,femaleFace,male,19,northern,249.617
m6,4.818013,maleFace,male,24,southern,14.284
m7,1.000056,femaleFace,male,30,northern,169.446
m8,2.50193,femaleFace,male,25,northern,167.306
m9,1.000056,maleFace,male,22,southern,24.929
m10,1.661942,femaleFace,male,23,northern,189.4
m11,4.499976,femaleFace,male,19,northern,156.718
m12,2.809625,femaleFace,male,22,southern,191.576
m13,3.164367,femaleFace,male,21,southern,15.421
m14,3.4997,femaleFace,male,20,northern,208.531
m15,5.161529,maleFace,male,30,northern,207.246
m16,3.463137,maleFace,male,22,northern,189.4
m17,3.501128,maleFace,male,21,northern,152.058
m18,2.033597,maleFace,male,20,northern,183.64
m19,2.966705,maleFace,male,19,northern,152.058
m20,2.033597,femaleFace,male,22,northern,156.718
m21,3.4997,maleFace,male,22,northern,194.762
m22,3.501128,maleFace,male,20,northern,168.699
m23,2.966705,maleFace,male,25,southern,50.133
m24,1.835692,femaleFace,male,22,northern,182.227
m25,3.4997,femaleFace,male,19,southern,110.327
m26,1.445779,femaleFace,male,20,midlands,135.669
